City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,el quebrachal,-25.2833,-64.0667,299.12,29,7,4.82,AR,1691611462
271,hadibu,12.65,54.0333,298.63,81,73,7.26,YE,1691611477
272,kruisfontein,-34.0033,24.7314,288.09,89,0,4.48,ZA,1691611478
273,sisimiut,66.9395,-53.6735,279.85,78,100,3.8,GL,1691611478
274,hualien city,23.9769,121.6044,300.45,74,91,2.18,TW,1691611311
275,tyuratam,45.6507,63.3156,301.34,42,0,1.95,KZ,1691611478
276,lebu,-37.6167,-73.65,285.39,92,100,10.07,CL,1691611478
277,quellon,-43.1167,-73.6167,284.29,93,75,9.77,CL,1691611478
278,port saint john's,-31.6229,29.5448,291.05,79,100,4.87,ZA,1691611479
279,merizo village,13.2658,144.6691,299.46,96,100,8.4,GU,1691611479
280,arvika,59.6553,12.5852,285.49,97,100,2.34,SE,1691611479
281,susuman,62.7833,148.1667,279.88,90,92,1.0,RU,1691611480
282,coquimbo,-29.9533,-71.3436,288.0,82,100,3.6,CL,1691611263
283,feodosiya,45.0333,35.3833,297.01,57,98,4.75,UA,1691611395
284,tromso,69.6496,18.957,293.36,55,0,7.2,NO,1691611480
285,abatskoye,56.2875,70.4555,290.21,80,98,3.11,RU,1691611481
286,hillsborough,37.5741,-122.3794,303.95,70,20,5.14,US,1691611481
287,kill devil hills,36.0307,-75.676,303.15,68,0,3.09,US,1691611481
288,puiesti,46.4167,27.5,293.53,43,57,1.88,RO,1691611481
289,puerto san jose,13.9256,-90.8244,303.94,67,24,3.47,GT,1691611481
290,dudinka,69.4058,86.1778,289.05,71,100,8.92,RU,1691611497
291,tarinkot,32.6268,65.8733,300.55,16,0,0.54,AF,1691611497
292,nagqu,31.5,92.0,279.66,80,100,1.75,CN,1691611497
293,mhamid,29.82,-5.72,311.55,9,13,4.25,MA,1691611497
294,moose jaw,50.4001,-105.5344,287.3,82,100,4.63,CA,1691611497
295,caleta de carquin,-11.0925,-77.6267,294.6,69,42,4.44,PE,1691611497
296,villamontes,-21.25,-63.5,299.84,34,0,0.0,BO,1691611497
297,tsiombe,-25.3,45.4833,292.65,86,5,3.28,MG,1691611486
298,howrah,22.5892,88.3103,302.15,89,100,3.6,IN,1691611497
299,katsuura,35.1333,140.3,299.21,88,64,4.49,JP,1691611498
300,hami,42.8,93.45,302.26,26,1,7.89,CN,1691611498
301,fada n'gourma,12.0622,0.3578,298.48,83,100,1.96,BF,1691611498
302,pacific grove,36.6177,-121.9166,296.7,79,20,3.58,US,1691611498
303,inhambane,-23.865,35.3833,294.14,88,20,3.13,MZ,1691611477
304,caribou,46.8606,-68.012,293.39,83,100,5.14,US,1691611498
305,lompoc,34.6391,-120.4579,303.71,74,75,3.09,US,1691611498
306,rikaze,29.25,88.8833,288.49,58,58,2.16,CN,1691611491
307,havre,49.5833,0.3333,292.7,88,0,1.54,FR,1691611513
